WannaSurf Spot List — Central America (Geocoded Only)
Scraped: 2026-04-27  |  Total geocoded: 459
======================================================================

Name                                                        Lat          Lon  URL
Anse Salabouelle                                      16.326811   -61.305288  https://wannasurf.com/spot/Central_America/Guadeloupe/Anse_Salabouelle/index.html
Le Moule                                              16.337159   -61.361990  https://wannasurf.com/spot/Central_America/Guadeloupe/Le_Moule/index.html
Le Palais                                             16.416646   -61.534263  https://wannasurf.com/spot/Central_America/Guadeloupe/Le_palais/index.html
Anse A La Barque                                      16.240716   -61.321135  https://wannasurf.com/spot/Central_America/Guadeloupe/anse_a_la_barque/index.html
Anse A La Bouelle                                     16.333483   -61.332121  https://wannasurf.com/spot/Central_America/Guadeloupe/anse_a_la_bouelle/index.html
Anse Bertrand                                         16.472716   -61.511936  https://wannasurf.com/spot/Central_America/Guadeloupe/anse_bertrand/index.html
Antigues Cape                                         16.434192   -61.539660  https://wannasurf.com/spot/Central_America/Guadeloupe/antigues_cape/index.html
Bananier                                              15.999662   -61.602139  https://wannasurf.com/spot/Central_America/Guadeloupe/bananier/index.html
Caravelle                                             16.215783   -61.394669  https://wannasurf.com/spot/Central_America/Guadeloupe/caravelle/index.html
La Perle                                              16.340876   -61.779578  https://wannasurf.com/spot/Central_America/Guadeloupe/la_perle/index.html
Le Helleux                                            16.240964   -61.339159  https://wannasurf.com/spot/Central_America/Guadeloupe/le_helleux/index.html
Petit Havre                                           16.210224   -61.427135  https://wannasurf.com/spot/Central_America/Guadeloupe/petit_havre/index.html
Port Louis                                            16.429684   -61.539488  https://wannasurf.com/spot/Central_America/Guadeloupe/port_louis/index.html
St Francois Harbour                                   16.247721   -61.272984  https://wannasurf.com/spot/Central_America/Guadeloupe/st_francois_harbour/index.html

## Guatemala
Champerico                                            14.292789   -91.915537  https://wannasurf.com/spot/Central_America/Guatemala/champerico/index.html
El Paredon                                            13.916572   -91.070137  https://wannasurf.com/spot/Central_America/Guatemala/el_paredon/index.html
Hawaii                                                15.500000   -90.250000  https://wannasurf.com/spot/Central_America/Guatemala/hawaii/index.html
Iztapa                                                13.925320   -90.721579  https://wannasurf.com/spot/Central_America/Guatemala/iztapa/index.html
La Barra                                              13.922644   -90.774729  https://wannasurf.com/spot/Central_America/Guatemala/la_barra/index.html
Monterrico                                            13.889367   -90.482614  https://wannasurf.com/spot/Central_America/Guatemala/monterrico/index.html
Punta San Jose                                        13.917489   -90.821743  https://wannasurf.com/spot/Central_America/Guatemala/punta_san_jose/index.html
Zipacate                                              13.922675   -91.146698  https://wannasurf.com/spot/Central_America/Guatemala/zipacate/index.html

## Haiti
Haiti The Point                                       19.948098   -72.770691  https://wannasurf.com/spot/Central_America/Haiti/Haiti_The_Point/index.html
Jacmel                                                18.220384   -72.540579  https://wannasurf.com/spot/Central_America/Haiti/Jacmel/index.html

## Honduras
Palma Real                                            15.814717   -86.510468  https://wannasurf.com/spot/Central_America/Honduras/Palma_Real/index.html

## Jamaica
Long Bay                                              18.099799   -76.312129  https://wannasurf.com/spot/Central_America/Jamaica/long_bay/index.html

