WannaSurf Spot List — Geocoded Spots Only
Scraped: 2026-04-27  |  Total geocoded: 526
======================================================================

Name                                                 Lat          Lon  URL
Seal Beach Pier Northside                      33.737991  -118.108974  https://wannasurf.com/spot/North_America/USA/California/Orange_County/Seal_Beach_Pier_Northside/index.html
State Park                                     33.400671  -117.604008  https://wannasurf.com/spot/North_America/USA/California/Orange_County/state_park/index.html
Sunset Beach Usa North Oc                      33.714706  -118.070294  https://wannasurf.com/spot/North_America/USA/California/Orange_County/Sunset_Beach_usa_north_OC/index.html
T Street                                       33.415243  -117.618510  https://wannasurf.com/spot/North_America/USA/California/Orange_County/T_street/index.html
Thaila                                         33.535922  -117.778566  https://wannasurf.com/spot/North_America/USA/California/Orange_County/thaila/index.html
The Wedge                                      33.593960  -117.882400  https://wannasurf.com/spot/North_America/USA/California/Orange_County/the_wedge/index.html
Thousand Steps                                 33.498282  -117.741578  https://wannasurf.com/spot/North_America/USA/California/Orange_County/thousand_steps/index.html
Three Arch Bay                                 33.492738  -117.734867  https://wannasurf.com/spot/North_America/USA/California/Orange_County/three_arch_bay/index.html
Upper Trestles                                 33.385563  -117.594381  https://wannasurf.com/spot/North_America/USA/California/Orange_County/upper_trestles/index.html

## California/SF Marin
Bolinas                                        37.903803  -122.683725  https://wannasurf.com/spot/North_America/USA/California/SF_Marin/bolinas/index.html
Dillon Beach                                   38.251628  -122.970228  https://wannasurf.com/spot/North_America/USA/California/SF_Marin/dillon_beach/index.html
Double Point                                   37.942878  -122.776766  https://wannasurf.com/spot/North_America/USA/California/SF_Marin/double_point/index.html
Drakes Bay                                     38.030786  -122.934265  https://wannasurf.com/spot/North_America/USA/California/SF_Marin/Drakes_Bay/index.html
Fort Cronkite  Rodeo Beach                     37.830870  -122.539701  https://wannasurf.com/spot/North_America/USA/California/SF_Marin/fort_cronkite__rodeo_beach_/index.html
Fort Point                                     37.810665  -122.476358  https://wannasurf.com/spot/North_America/USA/California/SF_Marin/fort_point/index.html
North Beach Pt Reyes                           38.078011  -122.975357  https://wannasurf.com/spot/North_America/USA/California/SF_Marin/north_beach_pt_reyes/index.html
Ocean Beach                                    37.753548  -122.511892  https://wannasurf.com/spot/North_America/USA/California/SF_Marin/ocean_beach/index.html
Pacifica                                       37.599000  -122.501850  https://wannasurf.com/spot/North_America/USA/California/SF_Marin/pacifica/index.html
Pedro Point                                    37.599136  -122.517815  https://wannasurf.com/spot/North_America/USA/California/SF_Marin/pedro_point/index.html
Rca                                            37.895393  -122.700462  https://wannasurf.com/spot/North_America/USA/California/SF_Marin/rca/index.html
Stinson Beach                                  37.897750  -122.652912  https://wannasurf.com/spot/North_America/USA/California/SF_Marin/Stinson_Beach/index.html

## California/San Diego County
15Th Street                                    32.958806  -117.269611  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/15th_street/index.html
Abs                                            32.713913  -117.257000  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/abs/index.html
Avalanche                                      32.752127  -117.255299  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/avalanche/index.html
Beacons                                        33.065102  -117.304738  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/beacons/index.html
Big Rock                                       32.825059  -117.281520  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/big_rock/index.html
Bird Shit                                      32.729467  -117.256592  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/bird_shit/index.html
Birdrock                                       32.814275  -117.274997  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/birdrock/index.html
Blacks Beach                                   32.879587  -117.253829  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/blacks_beach/index.html
Boneyards                                      33.037219  -117.297732  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/boneyards/index.html
Campgrounds                                    33.100741  -117.320225  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/Campgrounds/index.html
Cardiff Reef                                   33.015159  -117.283387  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/cardiff_reef/index.html
Cherry Hill                                    32.981974  -117.273967  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/Cherry_Hill/index.html
Coronado                                       32.684031  -117.191505  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/coronado/index.html
Coronado Silver Strand State Beach             32.624963  -117.138702  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/Coronado_Silver_Strand_State_Beach/index.html
Cortez Banks                                   32.396197  -119.116516  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/cortez_banks/index.html
Crystal Pier                                   32.830558  -117.218628  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/crystal_pier/index.html
D Street                                       33.045494  -117.298300  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/d_street/index.html
Del Mar                                        32.963955  -117.269397  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/del_mar/index.html
Del Mar Jetties                                33.217696  -117.406919  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/del_mar_jetties/index.html
Diamond Street                                 32.798783  -117.259912  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/Diamond_Street/index.html
Donuts                                         32.666978  -117.245517  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/donuts/index.html
Dutches A Frame                                33.166021  -117.361464  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/Dutches_A-Frame/index.html
El Carmel Point                                32.778218  -117.253432  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/El_Carmel_Point/index.html
Emery S Left                                   32.829620  -117.282400  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/Emery_s_Left/index.html
Encinatas   D Street                           33.045760  -117.296863  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/encinatas_-_d_street/index.html
Fletchers Cove                                 32.990963  -117.275426  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/fletchers_cove/index.html
Garbage                                        32.719629  -117.256876  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/garbage/index.html
Grandview                                      33.076134  -117.311915  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/grandview/index.html
Hennemans                                      32.807584  -117.269944  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/Hennemans/index.html
Hogans                                         32.820790  -117.280504  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/Hogans/index.html
Horseshoe                                      32.838707  -117.282282  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/horseshoe/index.html
Imperial Beach                                 32.578425  -117.134256  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/imperial_beach/index.html
La Jolla Cove                                  32.854463  -117.277744  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/la_jolla_cove/index.html
La Jolla Shores                                32.858618  -117.258346  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/la_jolla_shores/index.html
Law Street                                     32.801326  -117.261136  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/law_street/index.html
Little Point                                   32.832938  -117.282979  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/little_point/index.html
Little Waimea                                  32.690556  -117.288056  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/little_waimea/index.html
Luecadia                                       33.075495  -117.310263  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/luecadia/index.html
Marine Street  Shorebreak                      32.836850  -117.280877  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/marine_street__shorebreak_/index.html
Mission Beach                                  32.760158  -117.256222  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/Mission_Beach/index.html
No Surf                                        32.727373  -117.256104  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/no_surf/index.html
North Scripps                                  32.867720  -117.255310  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/north_scripps/index.html
North Torrey Pines                             32.935937  -117.262927  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/north_torrey_pines/index.html
O D  Jetty                                     32.754509  -117.255020  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/O_D__Jetty/index.html
Ocean Beach                                    32.749023  -117.255342  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/ocean_beach/index.html
Ocean Beach Pier                               32.747801  -117.253926  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/ocean_beach_pier/index.html
Oceanside Pier                                 33.193341  -117.387671  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/oceanside_pier/index.html
Pb Pier                                        32.795762  -117.259161  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/pb_pier/index.html
Pescedero  Pesky                               32.739936  -117.255481  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/pescedero__pesky_/index.html
Pianos                                         32.706927  -117.255783  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/pianos/index.html
Point Loma                                     32.668100  -117.236609  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/point_loma/index.html
Ponto                                          33.096665  -117.315938  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/ponto/index.html
San Elijo State Beach                          33.025801  -117.287883  https://wannasurf.com/spot/North_America/USA/California/San_Diego_County/san_elijo_state_beach/index.html
